ID,Text,Specific_Sentiment,General_Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
12,Exploring the city's hidden gems.,Positive,Joy/Happiness,1/18/2023 14:50,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12,25,UK,2023,1,18,14
13," New year, new fitness goals! 💪                    ",Positive,Joy/Happiness,1/18/2023 18:00,FitJourney,Instagram,#NewYear #FitnessGoals,28,55,USA,2023,1,18,18
14,Technology is changing the way we live.,Neutral,Neutral/Calm,1/19/2023 9:45,TechEnthusiast,Twitter,#Tech #Innovation,15,30,India,2023,1,19,9
15,Reflecting on the past and looking ahead.,Positive,Joy/Happiness,1/19/2023 13:20,Reflections,Facebook,#Reflection #Future,20,40,USA,2023,1,19,13
16,Just adopted a cute furry friend! 🐾,Positive,Joy/Happiness,1/19/2023 17:10,PetAdopter,Instagram,#PetAdoption #FurryFriend,15,30,Canada,2023,1,19,17
17,Late-night gaming session with friends.,Positive,Joy/Happiness,1/20/2023 0:05,GamerX,Twitter,#Gaming #LateNight,18,35,UK,2023,1,20,0
18,Attending a virtual conference on AI.,Neutral,Neutral/Calm,1/20/2023 11:30,TechConference,Facebook,#AI #TechConference,25,50,USA,2023,1,20,11
19,Winter blues got me feeling low.,Negative,Sadness,1/20/2023 15:15,WinterBlues,Instagram,#WinterBlues #Mood,8,15,USA,2023,1,20,15
20,Sipping coffee and enjoying a good book.,Positive,Joy/Happiness,1/21/2023 8:40,Bookworm,Twitter,#Reading #CoffeeTime,22,45,India,2023,1,21,8
21,Exploring the world of virtual reality.,Positive,Joy/Happiness,1/21/2023 13:20,VRExplorer,Facebook,#VR #VirtualReality,15,30,USA,2023,1,21,13
22,Productive day ticking off my to-do list.,Positive,Joy/Happiness,1/21/2023 16:45,ProductivityPro,Instagram,#Productivity #WorkFromHome,30,60,USA,2023,1,21,16
23,Just finished a challenging workout routine.,Positive,Joy/Happiness,1/22/2023 9:15,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20,40,UK,2023,1,22,9
24,Celebrating a milestone at work! 🎉,Positive,Joy/Happiness,1/22/2023 14:30,CareerMilestone,Facebook,#Career #Milestone,12,25,Canada,2023,1,22,14
25,Sunday brunch with friends.,Positive,Joy/Happiness,1/22/2023 12:00,BrunchBuddy,Instagram,#Brunch #Friends,15,30,UK,2023,1,22,12
26,Learning a new language for personal growth.,Positive,Joy/Happiness,1/23/2023 16:20,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25,50,India,2023,1,23,16
27,Quiet evening with a good book.,Positive,Joy/Happiness,1/23/2023 19:45,BookLover,Instagram,#Reading #QuietTime,15,30,Australia,2023,1,23,19
28,Reflecting on the importance of mental health.,Positive,Joy/Happiness,1/24/2023 11:30,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22,45,USA,2023,1,24,11
29,New painting in progress! 🎨,Positive,Joy/Happiness,1/24/2023 15:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12,25,Canada,2023,1,24,15
30,Weekend road trip to explore scenic views.,Positive,Joy/Happiness,1/24/2023 17:30,RoadTripper,Instagram,#RoadTrip #ScenicViews,18,35,UK,2023,1,24,17
31,Enjoying a cup of tea and watching the sunset.,Positive,Joy/Happiness,1/25/2023 18:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15,30,India,2023,1,25,18
32,Coding a new project with enthusiasm.,Positive,Joy/Happiness,1/25/2023 13:15,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30,60,USA,2023,1,25,13
33,Feeling inspired after attending a workshop.,Positive,Joy/Happiness,1/26/2023 9:45,WorkshopAttendee,Instagram,#Inspiration #Workshop,25,50,USA,2023,1,26,9
34,Winter sports day at the local park.,Positive,Joy/Happiness,1/26/2023 14:20,WinterSports,Twitter,#WinterSports #Fun,15,30,Canada,2023,1,26,14
35,Quality time with family this weekend.,Positive,Joy/Happiness,1/26/2023 17:40,FamilyTime,Facebook,#FamilyTime #Weekend,22,45,UK,2023,1,26,17
36,Attending a live music concert tonight.,Positive,Joy/Happiness,1/27/2023 20:00,MusicLover,Instagram,#Music #ConcertNight,18,35,USA,2023,1,27,20
37,Practicing mindfulness with meditation.,Positive,Joy/Happiness,1/27/2023 12:30,MindfulMoments,Twitter,#Mindfulness #Meditation,15,30,India,2023,1,27,12
38,Trying out a new dessert recipe.,Positive,Joy/Happiness,1/27/2023 16:10,DessertExplorer,Facebook,#Dessert #Cooking,12,25,Canada,2023,1,27,16
39,Excited about the upcoming gaming tournament.,Positive,Joy/Happiness,1/28/2023 9:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30,60,USA,2023,1,28,9
40,Planning a garden makeover for spring.,Positive,Joy/Happiness,1/28/2023 14:45,GardenPlanner,Twitter,#Gardening #Spring,25,50,USA,2023,1,28,14
41,Celebrating a friend's birthday tonight! 🎂,Positive,Joy/Happiness,1/28/2023 19:30,BirthdayBash,Facebook,#Birthday #Celebration,15,30,UK,2023,1,28,19
42,Feeling accomplished after a productive day.,Positive,Joy/Happiness,1/29/2023 17:00,ProductivityWin,Instagram,#Accomplished #Success,22,45,India,2023,1,29,17
43,A cozy evening with a good movie.,Positive,Joy/Happiness,1/29/2023 20:20,MovieNight,Twitter,#CozyNight #MovieTime,18,35,Canada,2023,1,29,20
44,Exploring local art galleries this weekend.,Positive,Joy/Happiness,1/30/2023 11:30,ArtExplorer,Facebook,#Art #GalleryExplore,15,30,USA,2023,1,30,11
45,New book release from my favorite author!,Positive,Joy/Happiness,1/30/2023 15:45,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12,25,UK,2023,1,30,15
46,Attending a virtual reality meetup.,Positive,Joy/Happiness,1/30/2023 18:30,VRMeetup,Twitter,#VRMeetup #VirtualReality,28,55,India,2023,1,30,18
47,Reflecting on the beauty of nature.,Positive,Joy/Happiness,1/31/2023 10:45,NatureLover,Facebook,#Nature #Reflection,15,30,Australia,2023,1,31,10
48,Cooking a special dinner for loved ones.,Positive,Joy/Happiness,1/31/2023 19:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20,40,USA,2023,1,31,19
49,Feeling optimistic about the week ahead.,Positive,Joy/Happiness,1/31/2023 16:20,OptimisticMindset,Twitter,#Optimism #NewWeek,15,30,Canada,2023,1,31,16
50,Starting a new fitness challenge tomorrow! 💪,Positive,Joy/Happiness,2/1/2023 8:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22,45,UK,2023,2,1,8
51,Sunday bike ride through scenic trails.,Positive,Joy/Happiness,2/1/2023 13:30,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18,35,USA,2023,2,1,13
52,Can't believe the injustice happening in our society.,Anger,Anger,2/11/2023 9:30,SocialJustice,Twitter,#Injustice #Angry,20,40,Canada,2023,2,11,9
53,Feeling a sense of fear after watching a thriller movie.,Fear,Fear,2/11/2023 21:15,ThrillerFan,Instagram,#Fear #ThrillerMovie,15,30,USA,2023,2,11,21
54,Heartbroken after hearing the news about a natural disaster.,Sadness,Sadness,2/12/2023 14:45,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25,50,India,2023,2,12,14
55,The state of the world's environment is just disgusting.,Disgust,Disgust,2/12/2023 18:20,EcoAwareness,Twitter,#Disgust #Environment,18,35,UK,2023,2,12,18
56,Pure happiness: celebrating a loved one's achievement!,Happiness,Joy/Happiness,2/13/2023 10:00,ProudFriend,Instagram,#Happiness #Celebration,30,60,USA,2023,2,13,10
57,Laughter is the best medicine—enjoying a comedy show.,Joy,Joy/Happiness,2/13/2023 19:30,ComedyFan,Facebook,#Joy #ComedyShow,22,45,Canada,2023,2,13,19
58,Sharing love and positive vibes with everyone! ❤️,Love,Love/Affection,2/14/2023 8:30,LoveSpreader,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,14,8
59,An amusing incident brightened up my day!,Amusement,Joy/Happiness,2/14/2023 14:20,AmusedSoul,Instagram,#Amusement #FunTimes,18,35,UK,2023,2,14,14
60,Enjoying a quiet evening with a book and some tea.,Enjoyment,Joy/Happiness,2/14/2023 19:45,BookLoverAgain,Facebook,#Enjoyment #BookTime,25,50,Canada,2023,2,14,19
61,Admiring the beauty of nature during a peaceful hike.,Admiration,Love/Affection,2/15/2023 11:30,NatureAdmirer,Twitter,#Admiration #Nature,20,40,USA,2023,2,15,11
62,Sending affectionate vibes to all my followers!,Affection,Love/Affection,2/15/2023 16:00,AffectionSender,Instagram,#Affection #PositiveVibes,15,30,USA,2023,2,15,16
63,Experiencing awe at the breathtaking sunset.,Awe,Anticipation,2/15/2023 20:30,AweStruck,Facebook,#Awe #Breathtaking,22,45,Australia,2023,2,15,20
64,Disappointed with the service at a local restaurant.,Disappointed,Sadness,2/16/2023 9:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18,35,India,2023,2,16,9
65,A surprise gift from a friend made my day!,Surprise,Suprise,2/16/2023 14:45,HappySurprise,Instagram,#Surprise #Gift,25,50,USA,2023,2,16,14
66,Finding acceptance in the midst of life's challenges.,Acceptance,Trust,2/16/2023 18:20,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15,30,Canada,2023,2,16,18
67,Overflowing with adoration for my adorable pet! 🐾,Adoration,Love/Affection,2/17/2023 10:45,PetAdorer,Twitter,#Adoration #PetLove,22,45,UK,2023,2,17,10
68,Anticipating a thrilling adventure in the coming weeks.,Anticipation,Anticipation,2/17/2023 7:30,AdventureAwaits,Instagram,#Anticipation #Adventure,20,40,USA,2023,2,17,7
69,A bitter experience turned into a valuable lesson.,Bitter,Disgust,2/17/2023 15:00,LearnFromBitter,Facebook,#BitterLesson #Growth,18,35,USA,2023,2,17,15
70,Finding calmness in the midst of a busy day.,Calmness,Neutral/Calm,2/18/2023 9:30,ZenMaster,Twitter,#Calmness #PeacefulMind,15,30,India,2023,2,18,9
71,Confusion clouds my mind as I navigate through decisions.,Confusion,Suprise,2/18/2023 14:20,ConfusedMind,Instagram,#Confusion #DecisionMaking,25,50,UK,2023,2,18,14
72,Excitement building up for the upcoming vacation!,Excitement,Joy/Happiness,2/18/2023 18:45,VacationDreamer,Facebook,#Excitement #TravelPlans,22,45,Canada,2023,2,18,18
73,Kindness witnessed today restored my faith in humanity.,Kind,Love/Affection,2/19/2023 11:30,KindnessPrevails,Twitter,#Kindness #Humanity,20,40,USA,2023,2,19,11
74,Pride in achieving a personal milestone.,Pride,Love/Affection,2/19/2023 16:00,PersonalAchiever,Instagram,#Pride #Milestone,30,60,Australia,2023,2,19,16
75,A moment of shame for not standing up against injustice.,Shame,Disgust,2/19/2023 19:45,ReflectiveSelf,Facebook,#Shame #Injustice,15,30,India,2023,2,19,19
76,Fuming with anger after a heated argument.,Anger,Anger,2/20/2023 9:30,AngryDebater,Twitter,#Anger #Argument,20,40,Canada,2023,2,20,9
77,The fear of the unknown is keeping me up at night.,Fear,Fear,2/20/2023 21:15,FearfulDreamer,Instagram,#Fear #Unknown,15,30,USA,2023,2,20,21
78,Heartfelt sadness after bidding farewell to a dear friend.,Sadness,Sadness,2/21/2023 14:45,FarewellHeart,Facebook,#Sadness #Farewell,25,50,India,2023,2,21,14
79,The state of corruption in our society is utterly disgusting.,Disgust,Disgust,2/21/2023 18:20,AntiCorruption,Twitter,#Disgust #Corruption,18,35,UK,2023,2,21,18
80,Overflowing happiness: welcoming a new family member!,Happiness,Joy/Happiness,2/22/2023 10:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30,60,UK,2023,2,22,10
81,Laughter is the key to joy—attending a stand-up comedy show.,Joy,Joy/Happiness,2/22/2023 19:30,StandUpFan,Facebook,#Joy #StandUpComedy,22,45,Canada,2023,2,22,19
82,Sending love to all my followers on this beautiful day! ❤️,Love,Love/Affection,2/23/2023 8:30,LoveSender,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,23,8
83,Amused by the antics of my pet—it's pure amusement!,Amusement,Joy/Happiness,2/23/2023 14:20,PetAmuser,Instagram,#Amusement #PetAntics,18,35,UK,2023,2,23,14
84,Enjoying every moment of this trip—pure enjoyment!,Enjoyment,Joy/Happiness,2/23/2023 19:45,TravelExplorer,Facebook,#Enjoyment #Travel,25,50,USA,2023,2,23,19
85,Admiring the dedication of volunteers at a local charity.,Admiration,Love/Affection,2/24/2023 11:30,CharityAdmirer,Twitter,#Admiration #Volunteers,20,40,USA,2023,2,24,11
86,Sending affectionate vibes to friends and family.,Affection,Love/Affection,2/24/2023 16:00,FamilyLover,Instagram,#Affection #FamilyLove,15,30,USA,2023,2,24,16
87,Awe-struck by the beauty of the night sky.,Awe,Anticipation,2/24/2023 20:30,Stargazer,Facebook,#Awe #StarryNight,22,45,Australia,2023,2,24,20
88,Disappointed with the lack of progress in a personal project.,Disappointed,Sadness,2/25/2023 9:00,ProjectStruggle,Twitter,#Disappointed #Project,18,35,India,2023,2,25,9
89,A surprise visit from an old friend brought tears of joy.,Surprise,Suprise,2/25/2023 14:45,JoyfulReunion,Instagram,#Surprise #OldFriends,25,50,USA,2023,2,25,14
90,Embracing acceptance of life's ups and downs.,Acceptance,Trust,2/25/2023 18:20,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15,30,Canada,2023,2,25,18
91,Overflowing adoration for a cute rescue puppy! 🐶,Adoration,Love/Affection,2/26/2023 10:45,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22,45,UK,2023,2,26,10
92,Anticipating the release of a much-awaited movie.,Anticipation,Anticipation,2/26/2023 7:30,MovieBuff2,Instagram,#Anticipation #MovieRelease,20,40,Australia,2023,2,26,7
93,Bitter experience at the customer service department.,Bitter,Disgust,2/26/2023 15:00,CustomerWoes,Facebook,#BitterExperience #CustomerService,18,35,USA,2023,2,26,15
94,Finding calmness amidst the chaos of daily life.,Calmness,Neutral/Calm,2/27/2023 9:30,CalmSoul,Twitter,#Calmness #InnerPeace,15,30,India,2023,2,27,9
95,Confusion reigns as I try to make sense of recent events.,Confusion,Suprise,2/27/2023 14:20,ConfusedMind2,Instagram,#Confusion #MakingSense,25,50,UK,2023,2,27,14
96,Excitement building up for a surprise birthday party.,Excitement,Joy/Happiness,2/27/2023 18:45,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22,45,Canada,2023,2,27,18
97,Witnessed an act of kindness that made my day.,Kind,Love/Affection,2/28/2023 11:30,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20,40,USA,2023,2,28,11
98,Pride in completing a challenging fitness challenge.,Pride,Love/Affection,2/28/2023 16:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30,60,UK,2023,2,28,16
99,A moment of shame for not speaking up against injustice.,Shame,Disgust,2/28/2023 19:45,ReflectiveSelf2,Facebook,#Shame #Injustice,15,30,India,2023,2,28,19
100,Reflecting on the beauty of diversity in our world.,Acceptance,Trust,3/1/2023 10:45,DiversityLover,Twitter,#Acceptance #Diversity,22,45,Australia,2023,3,1,10
101,Excitement for a quiet evening with a good book.,Excitement,Joy/Happiness,3/1/2023 13:30,BookwormJoy,Instagram,#Excitement #BookTime,18,35,USA,2023,3,1,13
102,Feeling bitter about the unfairness in the workplace.,Bitter,Disgust,3/1/2023 17:45,WorkplaceWoes,Twitter,#Bitter #Unfairness,15,30,Canada,2023,3,1,17
103,Calmness prevails as I practice mindfulness.,Calmness,Neutral/Calm,3/2/2023 18:00,MindfulMe,Facebook,#Calmness #Mindfulness,15,30,UK,2023,3,2,18
104,Confusion surrounds me as I navigate through life's choices.,Confusion,Suprise,3/2/2023 13:15,ConfusedMind3,Instagram,#Confusion #LifeChoices,30,60,USA,2023,3,2,13
105,Excitement for a weekend road trip to explore new places.,Excitement,Joy/Happiness,3/2/2023 16:45,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25,50,India,2023,3,2,16
106,Kindness witnessed today restores my faith in humanity.,Kind,Love/Affection,3/3/2023 11:30,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22,45,USA,2023,3,3,11
107,Pride in accomplishing personal and professional goals.,Pride,Love/Affection,3/3/2023 14:30,GoalAchiever,Instagram,#Pride #Accomplishments,12,25,Canada,2023,3,3,14
108,Shame for not being true to my values in a difficult situation.,Shame,Disgust,3/3/2023 12:00,ReflectiveSelf3,Twitter,#Shame #Integrity,15,30,UK,2023,3,3,12
109," Revisiting old memories, feeling a sense of elation. ",Elation,Joy/Happiness,5/15/2010 15:30,NostalgiaFan,Twitter,#Elation #Memories,20,40,Canada,2010,5,15,15
110,The victory of our team brought euphoria to the city.,Euphoria,Joy/Happiness,8/10/2021 21:15,SportsFanatic,Instagram,#Euphoria #Victory,15,30,USA,2021,8,10,21
111," Embracing the beauty of nature, a moment of contentment. ",Contentment,Neutral/Calm,6/20/2011 14:45,NatureLover2,Facebook,#Contentment #Nature,25,50,India,2011,6,20,14
112," Meditating by the serene lake, finding inner peace.   ",Serenity,Neutral/Calm,2/12/2022 18:20,ZenMaster2,Twitter,#Serenity #Meditation,18,35,UK,2022,2,12,18
113,Overflowing with gratitude for life's blessings.,Gratitude,Joy/Happiness,11/25/2012 10:00,ThankfulHeart,Instagram,#Gratitude #Blessed,30,60,Australia,2012,11,25,10
114," Hopeful for a brighter tomorrow, despite challenges.  ",Hope,Joy/Happiness,4/5/2013 19:30,OptimisticSoul,Facebook,#Hope #Optimism,22,45,USA,2013,4,5,19
115,Empowered to make a difference in my community.,Empowerment,Joy/Happiness,9/14/2014 8:30,CommunityLeader,Twitter,#Empowerment #Community,15,30,UK,2014,9,14,8
116,Compassion in action: supporting a local charity event.,Compassion,Love/Affection,7/18/2015 14:20,CharitySupporter,Instagram,#Compassion #CharityEvent,18,35,Canada,2015,7,18,14
117," A moment of tenderness, connecting with loved ones.    ",Tenderness,Love/Affection,2/23/2016 19:45,LovingHeart,Facebook,#Tenderness #FamilyTime,25,50,UK,2016,2,23,19
118,Arousal of excitement as I await a special announcement.,Arousal,Love/Affection,10/30/2017 11:30,ExcitementFan,Twitter,#Arousal #Excitement,20,40,Australia,2017,10,30,11
119,Enthusiastically diving into a new project.,Enthusiasm,Joy/Happiness,6/15/2018 16:00,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15,30,USA,2018,6,15,16
120,Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,Joy/Happiness,3/28/2019 18:20,MilestoneAchiever,Facebook,#Fulfillment #Milestone,22,45,India,2019,3,28,18
121,Reverence for the beauty of a historic landmark.,Reverence,Anticipation,11/11/2019 15:00,HistoryLover,Twitter,#Reverence #History,18,35,UK,2019,11,11,15
122,Elation after a surprise reunion with old friends.,Elation,Joy/Happiness,4/2/2020 9:30,JoyfulReunion2,Instagram,#Elation #OldFriends,25,50,Canada,2020,4,2,9
123,The euphoria of a live music concert under the stars.,Euphoria,Joy/Happiness,6/19/2021 14:45,MusicEnthusiast,Facebook,#Euphoria #LiveMusic,15,30,USA,2021,6,19,14
124,Contentment in the simplicity of a quiet Sunday.,Contentment,Neutral/Calm,8/15/2010 10:00,SimpleJoys,Twitter,#Contentment #SundayMood,30,60,Australia,2010,8,15,10
125,Serenity found in the pages of a favorite book.,Serenity,Neutral/Calm,9/22/2011 19:30,BookLover3,Instagram,#Serenity #BookTime,22,45,UK,2011,9,22,19
126,Gratitude for the support received during tough times.,Gratitude,Joy/Happiness,3/10/2012 8:30,SupportiveFriend,Facebook,#Gratitude #Supportive,15,30,India,2012,3,10,8
127,Hopeful about the possibilities of a new journey.,Hope,Joy/Happiness,12/5/2013 16:00,JourneyOptimist,Twitter,#Hope #NewBeginnings,18,35,Canada,2013,12,5,16
128,Empowerment through learning and personal growth.,Empowerment,Joy/Happiness,7/20/2014 11:30,GrowthSeeker,Instagram,#Empowerment #PersonalGrowth,25,50,USA,2014,7,20,11
129,Compassion towards those in need during the holidays.,Compassion,Love/Affection,12/22/2015 14:20,HolidayHelper,Facebook,#Compassion #HolidaySupport,18,35,USA,2015,12,22,14
130,Tenderness in the warmth of a cozy winter evening.,Tenderness,Love/Affection,2/10/2016 19:45,WinterWarmth,Twitter,#Tenderness #CozyEvening,25,50,UK,2016,2,10,19
131,Arousal of excitement for an upcoming adventure.,Arousal,Love/Affection,4/30/2017 11:30,AdventureAwaits,Instagram,#Arousal #AdventureTime,20,40,Australia,2017,4,30,11
132,Enthusiasm for a creative project in the making.,Enthusiasm,Joy/Happiness,9/15/2018 16:00,CreativeSpirit,Facebook,#Enthusiasm #Creativity,15,30,Canada,2018,9,15,16
133,Fulfillment in completing a challenging workout routine.,Fulfillment,Joy/Happiness,6/28/2019 18:20,FitnessAchiever,Twitter,#Fulfillment #FitnessGoals,22,45,India,2019,6,28,18
134,Reverence for the artistry displayed in a museum.,Reverence,Anticipation,11/11/2020 15:00,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18,35,UK,2020,11,11,15
135,Elation after achieving a personal goal.,Elation,Joy/Happiness,3/2/2021 9:30,GoalAchiever2,Facebook,#Elation #PersonalAchievement,25,50,USA,2021,3,2,9
136,Elation over discovering a hidden gem in the city.,Elation,Joy/Happiness,2/18/2012 14:30,UrbanExplorer2,Twitter,#Elation #HiddenGem,20,40,USA,2012,2,18,14
137,The euphoria of a surprise birthday celebration.,Euphoria,Joy/Happiness,11/5/2018 21:45,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15,30,UK,2018,11,5,21
138,Contentment in the simplicity of a home-cooked meal.,Contentment,Neutral/Calm,9/12/2015 13:20,HomeChef,Facebook,#Contentment #HomeCooking,25,50,India,2015,9,12,13
139,Serenity found in the melody of a peaceful piano.,Serenity,Neutral/Calm,7/30/2016 18:10,MusicLover4,Twitter,#Serenity #PeacefulMelody,18,35,Canada,2016,7,30,18
140,Gratitude for the supportive community around me.,Gratitude,Joy/Happiness,4/20/2013 10:30,CommunityLove,Instagram,#Gratitude #CommunitySupport,30,60,USA,2013,4,20,10
141,Hopeful about the prospects of a new business venture.,Hope,Joy/Happiness,12/8/2017 19:15,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22,45,Canada,2017,12,8,19
142,Empowerment through mentoring and guiding others.,Empowerment,Joy/Happiness,6/3/2014 8:20,MentorEmpower,Twitter,#Empowerment #Mentorship,15,30,UK,2014,6,3,8
143,Compassion shown through acts of kindness in the community.,Compassion,Love/Affection,1/15/2019 14:50,KindnessInAction,Instagram,#Compassion #CommunityKindness,18,35,Australia,2019,1,15,14
144,Tenderness in a heartfelt message to a loved one.,Tenderness,Love/Affection,12/25/2016 19:30,LoveExpress,Facebook,#Tenderness #LoveNote,25,50,UK,2016,12,25,19
145,Arousal of excitement before a much-awaited trip.,Arousal,Love/Affection,3/10/2018 9:45,TravelExcitement,Twitter,#Arousal #TravelAdventure,20,40,India,2018,3,10,9
146,Enthusiasm for a new artistic project in the works.,Enthusiasm,Joy/Happiness,9/17/2020 16:30,ArtisticSpirit,Instagram,#Enthusiasm #ArtisticProject,15,30,USA,2020,9,17,16
147,Feeling a sense of fulfillment after helping others.,Fulfillment,Joy/Happiness,8/28/2011 18:45,HelperHeart,Facebook,#Fulfillment #HelpingOthers,22,45,Canada,2011,8,28,18
148,Reverence for the historical significance of a landmark.,Reverence,Anticipation,11/1/2017 15:30,HistoryBuff,Twitter,#Reverence #HistoricalSite,18,35,Australia,2017,11,1,15
149,Elation after achieving a fitness milestone.,Elation,Joy/Happiness,6/15/2019 10:00,FitnessAchiever2,Instagram,#Elation #FitnessMilestone,25,50,UK,2019,6,15,10
150,The euphoria of a successful product launch.,Euphoria,Joy/Happiness,4/3/2022 11:45,ProductLaunchJoy,Facebook,#Euphoria #ProductLaunchSuccess,15,30,USA,2022,4,3,11
151,Contentment in the embrace of a loved one.,Contentment,Neutral/Calm,11/12/2010 20:20,LovingEmbrace,Twitter,#Contentment #Love,30,60,India,2010,11,12,20
152,Serenity found in the beauty of a sunset by the sea.,Serenity,Neutral/Calm,7/22/2011 18:30,SunsetWatcher2,Instagram,#Serenity #SunsetViews,22,45,Canada,2011,7,22,18
153,Gratitude for the small joys that each day brings.,Gratitude,Joy/Happiness,3/30/2012 11:20,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15,30,Australia,2012,3,30,11
154,Hopeful about the potential for personal growth.,Hope,Joy/Happiness,10/5/2013 16:40,GrowthOptimist,Twitter,#Hope #PersonalDevelopment,18,35,UK,2013,10,5,16
155,Empowerment through learning a new skill.,Empowerment,Joy/Happiness,7/10/2014 13:15,SkillEmpower,Instagram,#Empowerment #SkillBuilding,25,50,India,2014,7,10,13
156,Compassion in volunteering for a local charity.,Compassion,Love/Affection,12/18/2015 14:20,CharityVolunteer,Facebook,#Compassion #VolunteerWork,18,35,USA,2015,12,18,14
157,Tenderness in a quiet moment shared with a pet.,Tenderness,Love/Affection,2/10/2016 19:45,PetLove,Twitter,#Tenderness #PetLove,25,50,Canada,2016,2,10,19
158,Arousal of excitement for an upcoming festival.,Arousal,Love/Affection,9/25/2017 11:30,FestivalFan,Instagram,#Arousal #FestivalExcitement,20,40,UK,2017,9,25,11
159,Enthusiasm for a DIY home improvement project.,Enthusiasm,Joy/Happiness,4/15/2018 16:00,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15,30,Australia,2018,4,15,16
160,Fulfillment in completing a challenging puzzle.,Fulfillment,Joy/Happiness,11/28/2019 18:20,PuzzleMaster,Twitter,#Fulfillment #PuzzleChallenge,22,45,India,2019,11,28,18
161,Reverence for the wonders of nature on a hiking trail.,Reverence,Anticipation,5/11/2020 15:00,NatureAdmirer,Instagram,#Reverence #NatureExploration,18,35,USA,2020,5,11,15
162,Elation after a surprise reunion with a childhood friend.,Elation,Joy/Happiness,2/5/2021 9:30,ChildhoodJoy,Facebook,#Elation #FriendshipReunion,25,50,Canada,2021,2,5,9
